"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000126882",432.006484718716,-2.66092691846853,0.617868237696837,-4.30662519307902,1.65764129428424e-05,0.0058231331786528
"ENSG00000187546",15.8769578460125,-4.91444503084381,1.14431500138107,-4.29466101983508,1.74960458773793e-05,0.0059534820937234
"ENSG00000112837",27.5889703041423,3.47178988025962,0.810685939703207,4.28253372882062,1.84777111912119e-05,0.00618095098423319
"ENSG00000128408",29.3909427165018,-2.67712395198111,0.6284372656259,-4.2599700851839,2.04454265992381e-05,0.00672518232270938
"ENSG00000133216",68.8252427960359,-3.60464974258261,0.849342746310834,-4.24404606766773,2.19525254885671e-05,0.00710254168921903
"ENSG00000150361",6.84096884738889,-6.14633348024339,1.46203098791244,-4.20396936252316,2.62274453807998e-05,0.00834878809734622
"ENSG00000120949",22.4117814553117,-5.39119116908466,1.28641332962477,-4.19087010755493,2.7788672109575e-05,0.00835171394815548
"ENSG00000215838",39.3769209301679,-3.20892833287059,0.767145662324827,-4.18294528726913,2.87756662178036e-05,0.00835171394815548
"ENSG00000113763",16.9806101685986,-3.92365524543906,0.937761488541177,-4.1840652376788,2.8634187919788e-05,0.00835171394815548
"ENSG00000010671",168.767240933299,-3.55040655328368,0.846722855713337,-4.19311529070817,2.75149513689089e-05,0.00835171394815548
"ENSG00000229272",152.957016191306,-2.03012430965505,0.485297897184556,-4.18325387650093,2.87366173461311e-05,0.00835171394815548
"ENSG00000133121",463.371645588794,2.31514769061438,0.552231590090968,4.19234924650546,2.76080539834986e-05,0.00835171394815548
"ENSG00000126785",1153.60098067544,1.86276228774249,0.446096699390521,4.17569170605273,2.97081941115336e-05,0.00839366448842424
"ENSG00000142449",35.8212441111054,-4.40521586345434,1.0550878183644,-4.17521251480593,2.97708002730896e-05,0.00839366448842424
"ENSG00000115252",21.2010964495169,-3.67240989582732,0.882194448332994,-4.16281229468939,3.14351772756953e-05,0.00861673137101559
"ENSG00000161031",17.6278749651702,-5.42452488069639,1.30247298323768,-4.16478879063743,3.11640929496469e-05,0.00861673137101559
"ENSG00000178734",36.7926720463323,4.41291135986702,1.06165162598266,4.15664729546517,3.22951984845757e-05,0.00865639138025739
"ENSG00000137766",23.7678707737814,-4.15771618236151,1.00053227359672,-4.15550431713245,3.24570815838593e-05,0.00865639138025739
"ENSG00000185274",48.0297268825006,-3.97782220535629,0.960254956883658,-4.14246464112576,3.43593353973831e-05,0.0088889123217493
"ENSG00000132359",172.360780655945,-2.52640089956014,0.609440276532151,-4.14544459374415,3.39155004940233e-05,0.0088889123217493
